PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-1-15,70,50,30,12,8,4,34,21,9,30.46,30.37,30.29,10,10,10,12,6,,0.00,0,,177
2014-1-16,72,50,27,10,3,-1,39,20,6,30.35,30.28,30.22,10,10,10,12,5,,0.00,0,,167
2014-1-17,71,50,28,7,3,1,31,18,7,30.31,30.23,30.16,10,10,10,12,5,,0.00,0,,203
2014-1-18,69,48,28,9,4,-1,31,19,8,30.29,30.20,30.14,10,10,10,10,3,,0.00,0,,189
2014-1-19,69,48,27,8,5,1,33,20,9,30.26,30.19,30.12,10,10,10,12,4,,0.00,0,,223
2014-1-20,68,49,30,10,6,3,35,22,10,30.32,30.25,30.18,10,10,10,10,3,,0.00,0,,184
2014-1-21,62,45,28,11,8,4,36,23,13,30.35,30.27,30.18,10,10,10,8,3,,0.00,5,,251
2014-1-22,70,52,34,11,9,4,36,22,10,30.17,30.04,29.93,10,10,10,9,3,,0.00,2,,214
2014-1-23,66,46,27,17,10,3,36,23,12,30.22,30.09,29.95,10,10,10,14,6,22,0.00,3,,127
2014-1-24,66,54,41,19,16,15,36,24,15,30.38,30.31,30.25,10,10,10,12,4,,0.00,5,,141
2014-1-25,68,54,39,17,15,11,36,24,12,30.30,30.23,30.15,10,10,10,9,5,,0.00,0,,177
2014-1-26,63,48,33,19,14,11,42,28,16,30.18,30.09,30.02,10,10,10,9,3,,0.00,1,,221
2014-1-27,71,50,28,19,15,12,49,28,11,30.12,30.07,30.01,10,10,10,8,3,,0.00,3,,165
2014-1-28,71,52,34,20,17,14,44,29,13,30.19,30.13,30.08,10,10,10,9,2,,0.00,4,,281
2014-1-29,72,54,35,34,22,15,50,29,15,30.16,30.00,29.77,10,10,10,24,5,36,0.00,4,,221
2014-1-30,66,60,52,42,36,24,59,43,25,29.78,29.72,29.66,10,10,10,26,20,37,0.00,3,,213
2014-1-31,59,52,42,35,28,18,63,42,28,29.96,29.82,29.72,10,10,10,22,14,30,0.00,1,Rain,262
2014-2-1,55,44,33,30,12,2,65,32,11,30.10,30.05,29.97,10,10,10,20,8,26,0.00,1,,314
2014-2-2,54,40,25,27,19,13,69,46,21,30.10,30.00,29.90,10,10,10,21,5,25,0.00,2,,203
2014-2-3,55,40,26,26,24,20,81,55,29,29.96,29.91,29.84,10,10,10,10,5,,0.00,0,,204
2014-2-4,54,39,24,27,22,18,78,52,31,30.08,30.02,29.94,10,10,10,9,4,,0.00,3,,149
2014-2-5,55,41,27,28,23,15,66,48,29,30.13,30.04,29.99,10,10,10,10,3,,0.00,1,,185
2014-2-6,55,45,35,40,31,23,83,59,37,29.98,29.90,29.83,10,10,10,20,7,26,0.00,5,,238
2014-2-7,64,50,35,35,32,27,89,53,25,30.01,29.96,29.92,10,10,10,30,11,43,0.00,3,,220
2014-2-8,70,56,43,42,37,31,71,48,26,30.14,30.04,29.97,10,10,10,32,12,41,0.00,0,,214
2014-2-9,75,57,39,41,36,33,82,45,22,30.04,29.97,29.87,10,10,10,30,7,39,0.00,0,,229
2014-2-10,73,62,46,40,33,27,61,35,18,30.10,30.00,29.90,10,10,10,25,13,34,0.00,0,,183
2014-2-11,71,54,37,34,30,23,71,45,17,30.17,30.12,30.06,10,10,10,8,4,,0.00,3,,193
2014-2-12,70,54,37,29,26,22,57,37,21,30.23,30.14,30.08,10,10,10,8,5,,0.00,4,,183
2014-2-13,77,56,34,27,23,19,54,32,15,30.15,30.05,29.95,10,10,10,8,4,,0.00,2,,278
2014-2-14,78,58,37,23,20,17,48,25,13,30.12,30.03,29.97,10,10,10,24,4,,0.00,0,,263
2014-2-15,82,60,37,20,17,14,39,21,9,30.05,29.97,29.91,10,10,10,23,7,28,0.00,0,,247
2014-2-16,,,,,,,,,,,,,,,,,,,0.00,,,-1
2014-2-18,75,56,37,25,21,16,51,25,13,30.08,30.01,29.93,10,10,10,9,3,,0.00,6,,157
2014-2-19,80,61,42,27,21,12,38,25,8,29.98,29.85,29.77,10,10,10,24,7,33,0.00,1,,157
2014-2-20,68,52,37,26,18,12,49,27,13,30.19,30.10,30.00,10,10,10,12,5,,0.00,4,,148
2014-2-21,71,53,35,23,16,14,42,25,12,30.10,30.00,29.91,10,10,10,8,5,,0.00,0,,183
2014-2-22,72,54,35,22,18,15,47,27,13,29.99,29.92,29.87,10,10,10,7,4,,0.00,0,,179
2014-2-23,73,55,37,25,23,20,53,31,15,30.02,29.96,29.91,10,10,10,9,4,,0.00,0,,191
2014-2-24,75,56,37,24,21,15,51,28,12,30.04,29.97,29.91,10,10,10,10,2,,0.00,0,,218
2014-2-25,75,56,37,37,23,14,42,28,14,30.01,29.94,29.88,10,10,10,16,6,,0.00,1,,188
2014-2-26,68,55,42,46,37,27,75,50,36,29.98,29.92,29.88,10,10,10,21,8,29,0.00,4,,196
2014-2-27,70,62,53,47,32,13,75,41,16,29.91,29.81,29.72,10,10,10,28,18,39,0.01,4,Rain,209
2014-2-28,59,52,45,51,46,39,100,91,55,29.79,29.67,29.52,10,7,2,29,7,36,0.77,7,Rain,221
2014-3-1,57,50,43,46,42,40,97,77,57,29.93,29.81,29.68,10,10,10,20,10,24,0.01,4,Rain,185
2014-3-2,59,48,37,45,42,37,100,76,53,30.12,30.05,29.95,10,10,10,18,6,23,0.00,1,,181
2014-3-3,63,51,39,46,43,39,100,73,46,30.17,30.08,30.00,10,10,10,8,4,,0.00,4,,186
2014-3-4,70,59,48,46,44,40,93,63,33,30.06,29.99,29.93,10,10,10,10,5,,0.00,3,,183
2014-3-5,75,58,41,44,39,33,93,53,22,30.22,30.04,29.97,10,10,10,13,6,,0.00,4,,180
2014-3-6,79,64,50,42,38,29,68,40,22,29.99,29.89,29.79,10,10,10,26,8,36,0.00,4,,241
2014-3-7,73,62,52,33,20,11,38,22,10,30.09,30.01,29.90,10,10,10,20,10,30,0.00,3,,329
2014-3-8,73,58,44,28,24,18,51,28,13,30.25,30.19,30.12,10,10,10,13,6,,0.00,0,,180
2014-3-9,73,60,48,31,25,15,50,28,11,30.30,30.20,30.09,10,10,10,9,5,,0.00,1,,212
2014-3-10,80,62,46,35,27,16,46,28,10,30.09,29.97,29.88,10,10,10,22,10,31,0.00,4,,233
2014-3-11,69,58,48,34,22,11,54,28,16,30.13,30.07,29.98,10,10,10,14,5,21,0.00,4,,29
2014-3-12,66,58,50,19,16,12,27,21,13,30.20,30.10,30.03,10,10,10,21,11,30,0.00,1,,346
2014-3-13,71,56,42,22,16,8,41,22,9,30.03,29.98,29.91,10,10,10,13,5,,0.00,3,,339
2014-3-14,79,58,37,23,16,0,50,24,5,30.12,30.04,29.99,10,10,10,10,5,,0.00,0,,227
2014-3-15,78,62,48,28,25,20,37,25,14,30.32,30.24,30.13,10,10,10,10,5,,0.00,0,,182
2014-3-16,82,62,42,30,23,16,55,26,8,30.35,30.22,30.03,10,10,10,15,6,,0.00,0,,189
2014-3-17,80,68,57,25,20,14,25,15,9,30.01,29.77,29.60,10,10,10,32,14,43,0.00,4,,230
2014-3-18,68,57,43,21,12,5,32,18,9,30.04,29.93,29.80,10,10,10,15,8,23,0.00,0,,88
2014-3-19,71,54,36,14,10,6,39,20,8,30.16,30.08,30.04,10,10,10,9,5,,0.00,1,,160
2014-3-20,73,56,39,25,16,11,36,21,11,30.06,29.97,29.86,10,10,10,8,4,,0.00,4,,237
2014-3-21,79,61,44,32,26,20,43,26,13,29.91,29.83,29.76,10,10,10,16,6,25,0.00,2,,206
2014-3-22,78,62,46,35,30,25,61,32,16,30.00,29.93,29.81,10,10,10,14,5,,0.00,0,,180
2014-3-23,78,62,45,27,22,5,48,26,6,30.10,30.04,29.98,10,10,10,10,6,17,0.00,0,,200
2014-3-24,82,62,44,25,14,2,41,19,5,30.12,30.04,29.98,10,10,7,13,6,17,0.00,0,,170
2014-3-25,82,62,41,29,20,12,36,21,8,29.98,29.83,29.67,10,10,10,22,9,31,0.00,1,,241
2014-3-26,64,58,53,36,31,26,52,37,25,29.79,29.71,29.64,10,8,2,37,20,48,0.00,2,,230
2014-3-27,66,58,50,34,31,28,52,40,25,30.00,29.87,29.80,10,10,10,22,14,31,0.00,2,,231
2014-3-28,73,55,37,35,31,26,73,42,21,30.16,30.07,30.01,10,10,10,20,6,25,0.00,2,,206
2014-3-29,80,64,50,35,28,23,39,25,17,30.05,29.95,29.81,10,10,10,24,14,36,0.00,0,,220
2014-3-30,71,60,50,39,25,12,49,30,11,29.93,29.86,29.78,10,10,10,29,17,37,0.00,0,,232
2014-3-31,72,58,43,34,23,9,52,31,10,29.92,29.85,29.77,10,10,10,25,13,37,0.00,3,,209
2014-4-1,62,54,45,31,22,11,54,32,15,29.88,29.82,29.76,10,10,10,30,18,41,0.00,2,,241
2014-4-2,60,51,43,29,26,20,50,37,27,30.00,29.87,29.77,10,10,10,21,12,31,0.00,3,,238
2014-4-3,68,50,34,36,25,19,64,38,17,30.11,30.03,29.96,10,10,10,13,5,17,0.00,5,,186
2014-4-4,70,58,46,36,27,11,56,34,11,29.96,29.87,29.78,10,10,10,20,9,34,0.00,4,,204
2014-4-5,72,54,37,31,27,20,65,37,15,30.05,29.92,29.82,10,10,10,14,6,20,0.00,1,,209
2014-4-6,79,63,48,35,26,22,44,26,14,30.17,30.08,30.02,10,10,10,14,6,18,0.00,0,,178
2014-4-7,84,65,48,32,24,17,48,24,9,30.21,30.14,30.07,10,10,10,9,6,,0.00,0,,161
2014-4-8,88,67,46,29,22,13,41,20,6,30.18,30.08,30.00,10,10,10,14,7,18,0.00,4,,189
2014-4-9,91,74,57,29,17,-5,31,15,4,30.04,29.96,29.88,10,10,10,22,11,33,0.00,5,,227
2014-4-10,90,70,51,24,16,10,23,12,5,29.96,29.89,29.81,10,10,10,17,7,,0.00,4,,196
2014-4-11,90,72,54,33,24,16,31,18,7,29.87,29.78,29.68,10,10,10,23,9,32,0.00,0,,189
2014-4-12,88,68,52,41,34,29,43,27,13,29.72,29.67,29.62,10,10,10,24,8,33,0.00,0,,252
2014-4-13,87,70,52,38,25,-1,53,22,6,29.94,29.80,29.69,10,10,10,17,6,,0.00,0,,123
2014-4-14,80,66,53,12,7,2,16,10,6,30.16,30.07,29.98,10,10,10,16,9,22,0.00,0,,139
2014-4-15,87,69,52,35,24,13,33,20,13,30.01,29.86,29.72,10,10,10,14,6,17,0.00,3,,200
2014-4-16,89,70,53,34,31,24,47,25,10,29.79,29.73,29.65,10,10,10,9,5,,0.00,1,,173
2014-4-17,89,70,52,38,32,28,45,25,12,29.84,29.77,29.71,10,10,10,21,7,28,0.00,6,,199
2014-4-18,82,71,61,46,40,32,48,34,18,29.83,29.77,29.71,10,10,10,17,12,23,0.00,7,,162
2014-4-19,87,70,53,44,41,30,64,38,13,29.94,29.88,29.83,10,10,10,17,7,23,0.00,,,203
2014-4-20,90,72,57,43,38,29,55,32,12,30.02,29.96,29.89,10,10,10,16,6,,0.00,,,172
2014-4-21,91,72,53,32,24,14,41,20,7,30.02,29.92,29.81,10,10,9,21,10,33,0.00,5,,203
2014-4-22,75,65,57,32,23,15,30,19,11,29.80,29.76,29.71,10,10,10,31,16,44,0.00,1,,215
2014-4-23,75,60,45,30,20,14,34,22,10,29.97,29.90,29.81,10,10,10,15,5,,0.00,3,,193
2014-4-24,82,65,48,35,29,20,48,28,10,30.00,29.88,29.76,10,10,10,21,7,28,0.00,0,,202
2014-4-25,73,64,52,39,36,33,51,35,24,29.75,29.69,29.60,10,10,10,30,18,47,0.00,,,223
2014-4-26,70,58,48,27,25,22,42,29,18,29.82,29.68,29.51,10,10,10,24,16,36,0.00,,,255
2014-4-27,77,58,42,33,29,25,52,33,18,29.95,29.85,29.78,10,10,10,14,6,23,0.00,,,226
2014-4-28,79,63,48,33,28,22,52,28,14,30.10,29.99,29.88,10,10,10,9,5,,0.00,0,,176
2014-4-29,86,70,55,29,12,7,36,12,6,30.24,30.15,30.06,10,10,10,20,8,23,0.00,1,,4
2014-4-30,86,69,54,14,7,-3,17,9,4,30.27,30.14,30.02,10,10,10,16,8,25,0.00,1,,25
2014-5-1,88,70,53,28,9,3,24,10,5,30.19,30.09,29.98,10,10,10,10,7,18,0.00,2,,180
2014-5-2,97,75,54,26,21,13,28,14,5,30.05,29.95,29.85,10,10,10,20,6,28,0.00,1,,215
2014-5-3,96,75,55,21,16,7,22,11,4,29.87,29.82,29.77,10,10,10,24,9,37,0.00,0,,229
2014-5-4,91,80,70,36,24,13,29,15,6,29.84,29.80,29.74,10,10,10,28,16,36,0.00,1,,209
2014-5-5,82,72,63,39,34,29,38,27,15,29.81,29.76,29.70,10,10,10,30,19,38,0.00,3,,210
2014-5-6,70,60,48,38,32,25,68,37,20,29.75,29.69,29.63,10,10,6,28,16,39,0.00,3,Rain,278
2014-5-7,75,59,45,37,30,21,64,34,15,29.84,29.78,29.74,10,10,10,17,5,28,0.00,1,,222
2014-5-8,82,66,50,37,33,26,50,32,15,29.96,29.89,29.84,10,10,10,16,7,29,0.00,3,,208
2014-5-9,71,64,63,38,36,33,40,34,28,29.88,29.87,29.84,10,10,10,24,14,33,0.00,0,,231
2014-5-11,79,69,59,13,8,4,16,10,6,30.02,29.93,29.88,10,10,10,29,19,37,0.00,0,,344
2014-5-12,82,68,55,15,12,8,21,12,6,30.12,30.06,29.98,10,10,10,13,9,21,0.00,1,,293
2014-5-13,86,70,55,19,13,6,18,11,7,30.24,30.17,30.09,10,10,10,16,8,28,0.00,0,,167
2014-5-14,90,70,50,14,10,5,17,10,6,30.25,30.16,30.06,10,10,10,12,7,21,0.00,0,,163
2014-5-15,97,75,54,30,17,11,19,11,5,30.14,30.04,29.94,10,10,10,15,6,20,0.00,2,,201
2014-5-16,100,80,61,31,26,18,26,14,7,29.97,29.87,29.75,10,10,10,22,6,36,0.00,5,,245
2014-5-17,102,84,68,24,17,1,18,9,4,29.81,29.73,29.66,10,10,10,24,10,30,0.00,1,,231
2014-5-18,93,80,69,36,23,10,27,14,6,29.75,29.65,29.60,10,10,10,31,15,41,0.00,0,,250
2014-5-19,88,74,61,34,23,13,31,17,7,29.79,29.71,29.65,10,10,10,28,13,36,0.00,0,,201
2014-5-20,73,64,57,39,32,25,51,32,18,29.83,29.78,29.73,10,10,6,29,18,40,0.00,1,,231
2014-5-21,73,61,50,43,37,30,57,41,24,29.92,29.88,29.82,10,10,8,29,7,38,0.00,4,,276
2014-5-22,77,64,52,51,39,33,67,42,20,29.98,29.91,29.86,10,10,7,25,9,37,0.02,4,Rain,276
2014-5-23,88,68,50,46,37,27,75,36,12,29.94,29.88,29.80,10,10,10,15,5,22,0.00,0,,181
2014-5-24,93,77,63,43,38,30,40,24,11,29.84,29.79,29.72,10,10,10,15,6,22,0.00,0,,179
2014-5-25,98,79,61,44,40,33,46,25,11,29.90,29.82,29.74,10,10,10,14,6,16,0.00,0,,195
2014-5-26,104,83,64,46,40,30,43,23,9,29.88,29.81,29.75,10,10,10,25,6,33,0.00,0,,194
2014-5-27,102,82,63,40,32,21,38,18,6,29.91,29.82,29.73,10,10,10,22,8,33,0.00,0,,205
2014-5-28,98,84,70,35,25,17,23,14,5,29.78,29.72,29.65,10,10,10,26,10,38,0.00,3,,197
2014-5-29,93,75,57,33,23,9,36,16,4,29.85,29.79,29.74,10,10,10,17,7,28,0.00,3,,196
2014-5-30,98,76,55,20,13,8,19,10,4,29.84,29.79,29.72,10,10,10,21,8,29,0.00,1,,224
2014-5-31,95,80,68,20,13,1,15,9,4,29.81,29.76,29.73,10,10,10,24,13,31,0.00,0,,220
2014-6-1,97,75,55,32,16,6,19,11,4,29.86,29.78,29.70,10,10,10,16,5,20,0.00,0,,186
2014-6-2,97,80,64,29,20,9,24,13,4,29.79,29.73,29.68,10,10,10,28,11,39,0.00,1,,208
2014-6-3,96,76,57,27,15,2,20,10,4,29.85,29.77,29.70,10,10,10,17,9,24,0.00,0,,189
2014-6-4,104,78,61,31,23,13,24,14,5,29.80,29.73,29.67,10,10,10,17,9,16,0.00,0,,168
2014-6-5,100,81,62,35,26,12,28,15,4,29.79,29.71,29.62,10,10,10,15,6,23,0.00,0,,190
2014-6-6,102,81,62,35,30,20,30,16,6,29.70,29.65,29.57,10,10,10,13,5,,0.00,,,191
2014-6-7,102,82,63,36,30,16,31,15,4,29.72,29.66,29.59,10,10,10,20,7,24,0.00,,,176
2014-6-8,106,88,71,37,28,15,24,13,4,29.76,29.70,29.65,10,10,10,10,5,18,0.00,2,,192
2014-6-9,108,90,72,39,29,16,29,13,4,29.78,29.70,29.61,10,10,10,20,9,28,0.00,0,,200
2014-6-10,104,88,72,39,32,24,22,14,6,29.69,29.63,29.55,10,10,10,21,8,29,0.00,1,,203
2014-6-11,102,86,73,43,39,35,33,20,11,29.72,29.67,29.62,10,10,10,17,6,24,0.00,1,,198
2014-6-12,102,84,68,43,36,28,33,18,8,29.79,29.72,29.67,10,10,10,26,11,37,0.00,0,,205
2014-6-13,98,86,75,40,27,13,26,14,5,29.77,29.68,29.59,10,10,10,29,12,45,0.00,0,,226
2014-6-14,93,78,62,24,15,9,16,10,5,29.84,29.75,29.67,10,10,8,17,9,25,0.00,,,205
2014-6-15,95,78,64,33,22,11,19,12,6,29.67,29.63,29.57,10,10,6,30,12,37,0.00,,,225
2014-6-16,90,81,73,34,29,24,22,16,10,29.70,29.65,29.60,10,9,1,38,20,50,0.00,2,,217
2014-6-17,91,78,64,34,28,22,28,17,9,29.73,29.66,29.62,10,10,10,33,14,46,0.00,0,,220
2014-6-18,90,74,60,30,24,19,25,15,8,29.91,29.85,29.75,10,10,9,10,5,,0.00,0,,241
2014-6-19,97,78,60,30,24,14,26,14,6,29.95,29.88,29.83,10,10,10,12,5,,0.00,0,,190
2014-6-20,102,82,63,29,26,15,26,13,4,29.89,29.81,29.72,10,10,10,23,7,28,0.00,,,193
2014-6-21,106,84,64,28,22,15,23,11,4,29.81,29.73,29.65,10,10,10,23,8,30,0.00,,,216
2014-6-22,102,83,66,24,20,16,16,9,5,29.78,29.72,29.66,10,10,10,14,7,20,0.00,,,181
2014-6-23,102,83,64,34,25,19,19,12,5,29.81,29.75,29.70,10,10,10,18,5,22,0.00,1,,162
2014-6-24,105,84,64,35,32,29,28,15,8,29.83,29.74,29.66,10,10,10,25,7,33,0.00,0,,201
2014-6-25,104,86,69,42,33,28,23,15,8,29.84,29.71,29.63,10,10,2,29,9,37,0.00,0,,209
2014-6-26,91,85,79,45,42,39,29,23,19,29.73,29.68,29.59,10,8,2,37,25,51,0.00,4,,220
2014-6-27,100,81,64,45,41,36,40,24,11,29.79,29.71,29.62,10,10,10,16,5,23,0.00,0,,223
2014-6-28,105,86,68,45,42,36,40,23,9,29.77,29.71,29.65,10,10,10,20,6,28,0.00,,,188
2014-6-29,108,86,66,45,40,35,39,20,9,29.83,29.75,29.68,10,10,10,15,5,23,0.00,0,,167
2014-6-30,109,88,68,42,37,28,31,16,6,29.82,29.74,29.67,10,10,10,16,7,,0.00,1,,185
2014-7-1,109,94,78,43,37,22,28,16,5,29.77,29.70,29.63,10,10,10,22,9,30,0.00,0,,189
2014-7-2,109,91,73,42,35,17,28,15,4,29.79,29.73,29.67,10,10,10,22,10,29,0.00,0,,187
2014-7-3,108,90,73,41,34,24,25,15,6,29.84,29.78,29.73,10,10,10,28,10,34,0.00,0,,200
2014-7-4,105,90,75,49,41,37,27,18,10,29.95,29.87,29.80,10,10,10,24,11,29,0.00,,,184
2014-7-5,105,88,75,56,44,39,31,21,12,30.00,29.92,29.87,10,10,10,32,9,41,0.00,,,145
2014-7-6,105,88,75,50,45,41,31,21,16,29.97,29.88,29.79,10,10,10,24,7,31,0.00,,,295
2014-7-7,106,92,80,52,44,33,38,20,10,29.86,29.80,29.70,10,10,10,20,6,23,0.00,2,,218
2014-7-8,107,92,77,48,39,31,28,16,8,29.86,29.79,29.72,10,10,10,13,6,22,0.00,1,,183
2014-7-9,106,90,73,43,37,32,27,15,9,29.88,29.79,29.70,10,10,10,17,8,26,0.00,1,,179
2014-7-10,102,86,73,42,37,33,25,18,9,29.86,29.79,29.73,10,10,10,22,8,24,0.00,2,,180
2014-7-11,98,84,69,44,40,34,36,22,11,29.91,29.86,29.81,10,10,10,16,9,22,0.00,0,,172
2014-7-12,104,86,69,45,38,24,36,20,6,29.96,29.90,29.83,10,10,10,15,6,24,0.00,0,,136
2014-7-13,111,91,71,48,39,31,33,17,8,29.92,29.83,29.72,10,10,10,13,5,,0.00,0,,195
2014-7-14,104,93,84,56,51,48,31,23,17,29.91,29.86,29.79,10,10,10,16,9,24,0.00,5,,156
2014-7-15,102,90,81,59,53,48,42,28,17,29.95,29.88,29.80,10,10,10,17,7,23,0.00,2,,174
2014-7-16,104,90,79,54,50,36,42,27,11,29.89,29.83,29.75,10,10,10,20,9,30,0.00,1,,197
2014-7-17,104,88,73,52,46,25,43,27,7,29.89,29.82,29.73,10,10,10,20,11,26,0.00,0,,190
2014-7-18,102,86,71,51,44,28,47,28,8,29.91,29.83,29.76,10,10,10,20,9,23,0.00,1,,180
2014-7-19,100,87,75,59,48,39,56,28,14,29.90,29.86,29.81,10,10,10,15,9,22,0.00,0,Rain,188
2014-7-20,100,85,70,54,47,39,41,27,12,29.89,29.83,29.75,10,10,10,18,7,25,0.00,0,,192
2014-7-21,99,86,72,55,51,44,53,33,16,29.96,29.90,29.84,10,10,10,20,11,28,0.00,1,,176
2014-7-22,102,86,70,53,44,29,47,26,8,30.00,29.93,29.87,10,10,10,22,9,28,0.00,1,,185
2014-7-23,108,90,72,48,37,16,37,20,4,30.00,29.89,29.78,10,10,10,20,10,28,0.00,0,,193
2014-7-24,109,88,68,47,35,14,41,19,5,29.88,29.79,29.68,10,10,10,16,8,29,0.00,0,,195
2014-7-25,109,92,75,42,32,19,23,14,5,29.83,29.77,29.72,10,10,10,22,10,32,0.00,2,,191
2014-7-26,106,89,73,44,38,26,28,17,6,29.92,29.85,29.79,10,10,10,15,9,21,0.00,0,,189
2014-7-27,107,94,81,46,41,36,22,16,12,29.97,29.88,29.80,10,10,10,23,8,33,0.00,0,,170
2014-7-28,93,88,82,57,53,48,39,32,25,30.06,30.00,29.94,10,10,10,24,10,29,0.00,6,,224
2014-7-29,102,88,75,56,50,42,51,29,14,30.04,29.96,29.85,10,10,9,13,6,,0.00,4,,236
2014-7-30,106,90,75,54,49,43,33,24,13,29.95,29.91,29.85,10,7,1,36,14,48,0.00,3,,308
2014-7-31,106,91,77,53,48,44,42,24,13,29.95,29.87,29.76,10,10,10,14,7,24,0.00,1,,264
2014-8-1,108,91,75,47,43,38,34,19,9,29.88,29.81,29.74,10,10,10,16,7,22,0.00,0,,191
2014-8-2,99,87,75,57,47,40,29,24,15,29.91,29.85,29.79,10,10,9,20,11,28,0.00,0,,151
2014-8-3,84,76,68,66,60,46,87,63,26,30.09,29.97,29.84,10,9,3,17,10,25,0.06,6,Rain,315
2014-8-4,96,80,64,64,52,38,90,46,14,29.97,29.89,29.80,10,10,10,16,5,20,0.00,2,,221
2014-8-5,98,82,66,51,43,33,45,26,11,29.97,29.90,29.83,10,10,10,15,6,25,0.00,0,,186
2014-8-6,98,82,66,48,42,27,44,27,9,29.96,29.89,29.82,10,10,10,18,7,18,0.00,2,,188
2014-8-7,99,82,66,49,42,31,51,27,10,29.91,29.85,29.77,10,10,10,10,5,,0.00,0,,174
2014-8-8,100,83,66,50,40,24,45,24,7,29.89,29.83,29.77,10,10,10,13,5,18,0.00,0,,161
2014-8-9,102,86,71,45,39,29,33,20,8,29.91,29.85,29.78,10,10,10,14,6,,0.00,0,,187
2014-8-10,102,84,69,42,37,26,32,18,8,29.95,29.88,29.82,10,10,10,15,7,18,0.00,0,,191
2014-8-11,99,85,73,62,52,41,66,35,17,30.00,29.91,29.86,10,10,9,23,9,30,0.02,4,Rain-Thunderstorm,222
2014-8-12,100,86,73,58,54,48,57,34,19,29.97,29.88,29.76,10,10,10,20,7,25,0.00,2,,213
2014-8-13,100,87,75,51,43,28,40,24,9,29.89,29.85,29.78,10,10,10,26,12,38,0.00,0,,178
2014-8-14,100,85,71,51,35,9,49,22,4,29.92,29.86,29.78,10,10,10,30,15,37,0.00,0,,181
2014-8-15,102,83,66,42,32,19,38,18,6,29.96,29.89,29.83,10,10,10,21,9,25,0.00,0,,194
2014-8-16,104,84,66,30,25,20,22,12,5,30.00,29.91,29.82,10,10,10,13,6,17,0.00,0,,200
2014-8-17,106,84,64,36,28,22,19,13,7,29.94,29.85,29.77,10,10,10,18,6,23,0.00,0,,203
2014-8-18,102,88,73,37,27,13,22,12,4,29.81,29.74,29.67,10,10,10,17,11,28,0.00,2,,195
2014-8-19,98,82,66,48,32,20,37,18,6,29.73,29.70,29.63,10,10,10,25,13,36,0.00,2,,197
2014-8-20,91,78,66,44,41,36,42,27,14,29.91,29.83,29.74,10,10,10,14,10,16,0.00,0,,179
2014-8-21,96,77,61,53,44,39,44,28,15,29.94,29.87,29.82,10,10,10,18,7,28,0.00,0,,182
2014-8-22,100,82,66,50,43,32,49,26,10,29.89,29.80,29.71,10,10,10,30,10,38,0.00,0,,209
2014-8-23,97,84,71,44,40,36,31,22,12,29.87,29.78,29.72,10,10,10,15,9,23,0.00,0,,177
2014-8-24,96,81,66,43,39,22,42,25,7,29.84,29.77,29.69,10,10,10,21,9,26,0.00,0,,181
2014-8-25,97,80,64,41,33,20,38,21,6,29.83,29.76,29.69,10,10,10,29,15,43,0.00,0,,186
